,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
1121,1191,akc.org,712.753772735596,178.332090377808,259.0,89.1660451889038,17283.0,1990.0,600784.0,179.48.248.45,San José,Costa_Rica,0,90092,53796965,Other
1133,1205,merriam-webster.com,110.894918441772,34.4502925872803,110.0,17.2251462936401,2424.0,600.0,267588.0,193.160.118.107,Zagreb,Croatia,0,2177,6457554,Educational Websites
1140,1212,cambridge.org,146.08907699585,35.6907844543457,148.0,17.8453922271729,1567.0,904.0,286058.0,193.160.118.107,Zagreb,Croatia,0,201,293293,Educational Websites
1141,1213,britannica.com,452.662229537964,38.4953022003174,251.0,19.2476511001587,15168.0,837.0,152537.0,193.160.118.107,Zagreb,Croatia,0,4796,11941440,Educational Websites
1145,1217,espn.com,109.066486358643,34.8737239837646,562.0,17.4368619918823,16509.0,3065.0,652255.0,193.160.118.107,Zagreb,Croatia,0,3445,14833052,Other
1154,1226,timeanddate.com,299.697160720825,35.0713729858398,91.0,17.5356864929199,1817.0,496.0,65639.0,193.160.118.107,Zagreb,Croatia,0,459,1056096,Other
1164,1236,thefreedictionary.com,627.082586288452,36.2775325775146,239.0,18.1387662887573,3533.0,1482.0,1422629.0,193.160.118.107,Zagreb,Croatia,0,1461,4489821,Educational Websites
1170,1242,ytmp3.cc,920.686960220337,35.0925922393799,399.0,17.5462961196899,5082.0,4013.0,164972.0,193.160.118.107,Zagreb,Croatia,0,2105,7473630,Other
1178,1251,cnbc.com,380.075216293335,34.3122482299805,152.0,17.1561241149902,1043.0,491.0,2314847.0,193.160.118.107,Zagreb,Croatia,0,280,353159,News Websites
1181,1254,flashscore.com,125.63967704773,34.7874164581299,67.0,17.3937082290649,1094.0,859.0,298162.0,193.160.118.107,Zagreb,Croatia,0,293,292506,Other
1184,1257,speedtest.net,150.554895401001,35.3639125823975,170.0,17.6819562911987,2038.0,689.0,153384.0,193.160.118.107,Zagreb,Croatia,0,536,1510139,Other
1188,1261,vocabulary.com,80.0371170043945,34.2986583709717,483.0,17.1493291854858,2163.0,1670.0,44538.0,193.160.118.107,Zagreb,Croatia,0,343,1494726,Other
1193,1267,booking.com,94.6338176727295,36.1096858978271,376.0,18.0548429489136,1434.0,1276.0,561045.0,193.160.118.107,Zagreb,Croatia,0,285,305220,Other
1194,1268,xhamster.com,74.8002529144287,34.8079204559326,422.0,17.4039602279663,3346.0,1695.0,333913.0,193.160.118.107,Zagreb,Croatia,0,572,1510139,Other
1208,1284,wellsfargo.com,140.729665756226,36.0426902770996,45.0,18.0213451385498,2533.0,1907.0,131991.0,193.160.118.107,Zagreb,Croatia,0,658,2369161,Other
1229,1307,yelp.com,300.54783821106,70.1406002044678,1015.0,35.0703001022339,4532.0,4334.0,111697.0,193.19.204.134,Nicosia,Cyprus,0,483,305220,Other
