,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
391,415,microsoft.com,359.113931655884,29.5336246490479,0.0,14.7668123245239,37.0,27.0,3448.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
392,416,walmart.com,114.017486572266,37.9436016082764,126.0,18.9718008041382,7080.0,331.0,185957.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
398,422,xnxx.com,169.569253921509,33.1771373748779,117.0,16.588568687439,3305.0,2925.0,206287.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
401,425,cricbuzz.com,412.27912902832,24.8792171478271,40.0,12.4396085739136,4628.0,360.0,142239.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
408,432,bestbuy.com,57.2371482849121,22.4103927612305,115.0,11.2051963806152,748.0,457.0,6921.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
424,449,nordstrom.com,80.72829246521,26.5085697174072,175.0,13.2542848587036,503.0,503.0,211379.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,E-commerce Platforms
427,452,indiatimes.com,58.7747097015381,22.972583770752,45.0,11.486291885376,8729.0,358.0,815634.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
428,453,roblox.com,242.729902267456,28.5916328430176,166.0,14.2958164215088,1490.0,1219.0,95598.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Gaming Websites
433,458,ssyoutube.com,63.2212162017822,25.7279872894287,80.0,12.8639936447144,1595.0,585.0,30024.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
443,469,xe.com,58.854341506958,27.3482799530029,40.0,13.6741399765015,1199.0,862.0,459139.0,185.245.254.159,Brussels,Belgium,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Waiting time exceeds 10 seconds,Other
